data_id,data_file,data_type,source_type,source_description,is_literature,notes
normalized_gas_data,data/normalized_gas_data.csv,gas_composition,literature,47条文献产气组成记录；覆盖8种化学体系(NCM111/523/622/811/NCM9-0.5-0.5/LFP/NCA/18650)；0-143% SOC；30-60°C；部分含实验LFL/UFL标签,true,数据来自公开文献整理；每条记录标注source_type(data_type)区分文献数据/计算标签/教学模拟
gas_lfl_constants,data/gas_lfl_constants.csv,lel_constants,literature,SFPE Handbook 5th Ed. / Engineering Toolbox / PHMSA / DOE report；11种气体（8可燃+3不可燃）含CAS号,true,来源为公开权威手册和工程参考；标注置信度；非权威数据表述
virtual_scenarios,data/virtual_scenarios.csv,teaching_scenario,teaching_simulation,虚拟空间场景参数用于教学演示,false,非真实工程场景
arc_curve_demo,data/experiment/arc_curve_demo.csv,arc_curve,teaching_interpolation,ARC 教学插值 / 模拟曲线,false,非文献原始数据
pressure_curve_demo,data/experiment/pressure_curve_demo.csv,pressure_curve,teaching_simulation,20 L 罐压力教学可视化模拟,false,非文献原始曲线
gc_peaks_demo,data/experiment/gc_peaks_demo.csv,gc_chromatogram,teaching_simulation,GC 色谱峰教学模拟,false,用于界面演示
gas_volume_params,data/experiment/gas_volume_params.csv,gas_volume,pending_user_input,待补充文献产气量计算公式和参数,false,当前不输出正式文献计算结果
literature_metadata_template,data/experiment/literature_metadata_template.csv,literature_metadata,pending_user_input,文献元数据录入模板,false,用于后续录入真实文献信息
battery_sample_template,data/experiment/battery_sample_template.csv,battery_sample,pending_user_input,电池样品信息录入模板,false,用于后续录入实验对象信息
arc_key_points_template,data/experiment/arc_key_points_template.csv,arc_key_points,pending_user_input,ARC 关键节点录入模板,false,用于后续录入文献关键温度点
arc_curve_template,data/experiment/arc_curve_template.csv,arc_curve,pending_user_input,ARC 曲线录入模板,false,文献图数字化或插值数据需区分 source_type
pressure_curve_template,data/experiment/pressure_curve_template.csv,pressure_curve,pending_user_input,压力曲线录入模板,false,用于后续录入 20 L 罐或热失控压力数据
gc_composition_template,data/experiment/gc_composition_template.csv,gc_composition,pending_user_input,GC 组分录入模板,false,用于后续录入不同 SOC 的气体组成
gc_peaks_template,data/experiment/gc_peaks_template.csv,gc_peaks,pending_user_input,GC 色谱峰录入模板,false,无峰图或峰位数据时不得伪造
